Topic,Title,Context,date,media,country,Security,Symbol,title_sentiment,context_sentiment,sentiment,day_sentiment,sentiment_cat,day_sent_cat,daybefore,dayafter,dayBefore_sent_cat,dayAfter_sent_cat
Masks,Covid-19 vaccine in late February: White House - Newspaper,"A US biotech firm Gilead announced earlier this month that has reached an agreement with China to try its antiviral drug Remdesivir on patients with coronavirus. Gilead is known for its HIV and hepatitis C treatments but it's now also focusing on finding a cure for the deadly respiratory disease. Mr Navarro told Fox News that the White House was ""moving at Trump time"" on a treatment drug and they were hopeful testing and production could begin ""as early as the end of the month, mid-March.""",2020-02-16,dawn.com,Global,,,-0.15,-0.06000000000000001,-0.10500000000000001,0.07145833333333333,negative,positive,2020-02-15,2020-02-17,,0.03236111111111111
Covid19,Finding a COVID-19 vaccine is the easy part,Vaccine makers want to trounce the coronavirus (COVID-19) in record time. The algorithms of US biotech Inovio came up with a candidate in just three hours. Other ambitious minnows like Maryland-based Novavax and San Francisco's Vaxart are also in a hurry.,2020-02-16,afr.com,Global,,,0.43333333333333335,0.0625,0.24791666666666667,0.07145833333333333,positive,positive,2020-02-15,2020-02-17,,0.03236111111111111
Testing,Taiwan firm teams up with US to develop Covid-19 vaccine,"It is MVC's second cooperation with the NIH since 2015, when the two sides first collaborated to develop vaccines against dengue fever. If all goes smoothly, MVC said it will introduce the NIH's candidate vaccine viruses and material for follow-up human testing to manufacture effective vaccines to deal with the epidemic, which has no cure so far. On Feb 12, MVC applied for permission from the Taiwan Food and Drug Administration for an RT-PCR (reverse transcription-polymerase chain reaction) test kit that it developed to target Covid-19, which was first detected in the Chinese city of Wuhan in December. - Bernama",2020-02-17,thestar.com.my,Malaysia,,,-0.2,0.1888888888888889,-0.00555555555555555,0.03236111111111111,negative,positive,2020-02-16,2020-02-18,0.07145833333333333,0.01666666666666667
Testing,Taiwanese firm teams up with US to develop Covid-19 vaccine,"It is MVC's second cooperation with the NIH since 2015, when the two sides first collaborated to develop vaccines against dengue fever. If all goes smoothly, MVC said it will introduce the NIH's candidate vaccine viruses and material for follow-up human testing to manufacture effective vaccines to deal with the epidemic, which has no cure so far. On Feb 12, MVC applied for permission from the Taiwan Food and Drug Administration for an RT-PCR (reverse transcription-polymerase chain reaction) test kit that it developed to target Covid-19, which was first detected in the Chinese city of Wuhan in December.",2020-02-17,malaysiakini.com,Global,,,-0.2,0.1888888888888889,-0.00555555555555555,0.03236111111111111,negative,positive,2020-02-16,2020-02-18,0.07145833333333333,0.01666666666666667
Testing,Virus outbreak: Medigen to work on COVID-19 vaccine,"Medigen Vaccine Biologics Corp (高端疫苗) would cooperate with the US National Institutes of Health to develop a vaccine against COVID-19, the company said yesterday, adding that it plans to begin animal testing in the second quarter of this year. The Hsinchu-based company on Sunday signed an agreement with the US agency, which is to provide a vaccine candidate and the viral spike protein to Medigen for testing and development, spokesman Leo Lee (李思賢) told a news conference in Taipei. Medigen would use recombinant spike protein technology to develop the vaccine, Lee said.",2020-02-17,taipeitimes.com,Global,,,0.0,0.0,0.0,0.03236111111111111,neutral,positive,2020-02-16,2020-02-18,0.07145833333333333,0.01666666666666667
Masks,Here's why World Health Organisation says we have to wait 18 months for a Covid-19 vaccine,"This will be an animal model that gives us clues to how the coronavirus might behave in humans. Our previous work with the severe acute respiratory syndrome, better known as SARS, has given us a good foundation to build on. SARS is another member of the coronavirus family that spread during 2002-'03.",2020-02-17,scroll.in,India,,,0.0,0.4083333333333333,0.20416666666666666,0.03236111111111111,positive,positive,2020-02-16,2020-02-18,0.07145833333333333,0.01666666666666667
Testing,《TAIPEI TIMES》 Medigen to work on COVID-19 vaccine - 焦點,"《TAIPEI TIMES》 Medigen to work on COVID-19 vaccine Medigen Vaccine Biologics Corp vice chairman Charles Chen poses at a news conference in Taipei yesterday after announcing the firm is to cooperate with the US National Institutes of Health on working on a vaccine for COVID-19. Photo: Kao Shih-ching, Taipei Times 2020-02-18 03:00:00 EXPEDITED: While animal testing for vaccine development normally takes four to six months, the firm plans to finish the tests before the end of June, a spokesman said By Kao Shih-ching / Staff reporter Medigen Vaccine Biologics Corp （高端疫苗） would cooperate with the US National Institutes of Health to develop a vaccine against COVID-19, the company said yesterday, adding that it plans to begin animal testing in the second quarter of this year. The Hsinchu-based co",2020-02-17,news.ltn.com.tw,"Taiwan, Province of China",,,0.0,-0.0625,-0.03125,0.03236111111111111,negative,positive,2020-02-16,2020-02-18,0.07145833333333333,0.01666666666666667
Testing,China speeding up COVID-19 vaccine development,"The epidemic outbreak has resulted in 1,868 deaths on the Chinese mainland with 72,436 people infected and 11,741 people still in critical condition as of Monday. China National Biotec Group, subordinate to Sinopharm Group, has produced a total of 1 million nucleic acid testing kits. China is testing different types of vaccines against the novel coronavirus, and some, including a recombinant protein vaccine, have entered animal trials, according to previous report.",2020-02-18,ecns.cn,China,,,0.0,-0.03333333333333333,-0.016666666666666666,0.01666666666666667,negative,positive,2020-02-17,2020-02-19,0.03236111111111111,0.13682431457431457
Covid19,Sanofi Gets Backing From U.S. Government to Develop a COVID-19 Vaccine,"Through the Biomedical Advanced Research and Development Authority (BARDA), the government will support those efforts, although financial details of the agreement weren't disclosed. Protein Sciences, which Sanofi acquired in 2017, has a bit of a head start, having worked on a vaccine for SARS, which is caused by another coronavirus. That treatment didn't get off the ground because SARS petered out just a couple of years after it emerged in 2002, but preclinical work showed that Sanofi's SARS vaccine candidate produced partial protection in animals challenged with the virus.",2020-02-18,fool.com,Global,,,0.0,0.10000000000000002,0.05000000000000001,0.01666666666666667,positive,positive,2020-02-17,2020-02-19,0.03236111111111111,0.13682431457431457
Masks,"HHS partners with drug makers on COVID-19 vaccine, drugs","The US Department of Health and Human Services (HHS) is partnering with Sanofi Pasteur and Johnson & Johnson to develop vaccines and therapeutics to use against COVID-19, according to press releases from the drug makers and HHS today. Sanofi announced it will be revisiting previous development work for a SARS (severe acute respiratory syndrome) vaccine to examine a path for COVID-19 vaccine development. Both SARS and COVID-19 are coronaviruses that originated in China, with SARS appearing in 2002 and largely disappearing by 2004.",2020-02-19,cidrap.umn.edu,,Johnson & Johnson,JNJ,0.0,0.1619047619047619,0.08095238095238096,0.13682431457431457,positive,positive,2020-02-18,2020-02-20,0.01666666666666667,0.012857777143491428
Cases,"Coronavirus Cure: US Is Developing Covid-19 Vaccine With Sanofi, Janssen","Nevertheless, the global medical and scientific communities are scrambling to develop a vaccine as the number of cases in China skyrockets. Nearly 72,500 people have been infected by the outbreak of the new coronavirus in China, which has claimed the lives of more than 1,800 people Nearly 72,500 people have been infected by the outbreak of the new coronavirus in China, which has claimed the lives of more than 1,800 people China reports 75,122 confirmed Covid-19 cases and 2,005 deaths worldwide as of 6:41 a.m. Wednesday, Hong Kong time, according to its National Health Commission (NHC). China alone accounts for 74,129 cases and 2,000 deaths.",2020-02-19,ibtimes.com,Global,,,0.0,0.20808080808080806,0.10404040404040403,0.13682431457431457,positive,positive,2020-02-18,2020-02-20,0.01666666666666667,0.012857777143491428
Quarantine,Shafie: Restriction on China tourists to be lifted once Covid-19 vaccine is ready,"KOTA KINABALU: Sabah will lift its temporary restriction on Chinese nationals visiting the state, once a vaccine for Covid-19 becomes available, says Chief Minister Datuk Seri Mohd Shafie Apdal. ""The moment there is a vaccine, we will welcome back all Chinese tourists to Sabah,"" he said at the We Care, We Love charity dinner by the state government and Federation of Chinese Associations Sabah (FCAS) on Tuesday (Feb 18). However, he acknowledged that it was not easy to check the spread of the virus (officially known as SARS-CoV-2), and research was still being done on the development of a vaccine.",2020-02-19,thestar.com.my,Malaysia,,,0.2,0.18541666666666667,0.19270833333333334,0.13682431457431457,positive,positive,2020-02-18,2020-02-20,0.01666666666666667,0.012857777143491428
Quarantine,Sabah says will lift China ban as soon as Covid-19 vaccine available,"a group of people posing for the camera: Sabah Chief Minister Datuk Seri Shafie Apdal(centre) with the mock cheque for RM2 million presented to China consul general for Kota Kinabalu Liang Caide in Kota Kinabalu February 18, 2020. — Picture courtesy of Sabah Chief Minister's Department © Provided by Malay Mail Sabah Chief Minister Datuk Seri Shafie Apdal(centre) with the mock cheque for RM2 million presented to China consul general for Kota Kinabalu Liang Caide in Kota Kinabalu February 18, 2020. — Picture courtesy of Sabah Chief Minister's Department KOTA KINABALU, Feb 19 — Sabah will lift its travel restrictions on Chinese nationals when the vaccine for the deadly Covid-19 virus becomes available, Chief Minister Datuk Seri Shafie Apdal said today. Shafie said that the state government is",2020-02-19,msn.com,Global,,,0.4,0.06000000000000001,0.23,0.13682431457431457,positive,positive,2020-02-18,2020-02-20,0.01666666666666667,0.012857777143491428
Cases,US Teams Up With French Drugmaker on COVID-19 Vaccine,"The development comes as leading experts last week warned that the United States could see thousands of cases of the new coronavirus and a significant surge in the spread of the virus in the coming weeks. Asha George, executive director of the Bipartisan Commission on Biodefense, told the Senate Homeland Security and Governmental Affairs Committee on Feb. 12 that the United States should be preparing ahead for cases of coronavirus in the thousands, warning of a large-scale outbreak nationwide. ""I don't think we should be planning for the onesie-twosie cases that we've been seeing thus far in the United States,"" George said. ""We have to plan for the possibility that we have thousands of cases.""",2020-02-19,theepochtimes.com,Global,,,0.0,0.15284090909090908,0.07642045454545454,0.13682431457431457,positive,positive,2020-02-18,2020-02-20,0.01666666666666667,0.012857777143491428
Covid19,COVID-19 vaccine to seek approval from WHO and FDA before usage in PH,"Earlier reports say that China has already approved the production and trade of the vaccine against COVID-19 named Favilavir following the rapid increase in the number of fatalities. According to Health Secretary Maria Rosario Vergerie, the vaccine has to go through a process and approval by the WHO and the FDA before releasing it to the public. Vergerie added that even the plasma therapy which is another form of medication being used to treat some COVID-19 patients in China should be approved by the medical authorities' prior trials in the Philippines. — KBAPI",2020-02-20,radyonatin.com,Global,,,0.0,0.0,0.0,0.012857777143491428,neutral,positive,2020-02-19,2020-02-21,0.13682431457431457,0.11499999999999999
Masks,COVID-19 Vaccine Will Close in on the Spikes,"The viruses aren't new, nor do they infect only people. They cause: diarrhea in pigs, dogs, and cows fever and vasculitis in cats fever and anorexia in horses severe lung injury in mice lung disease and death from liver failure in whales respiratory tract infection in birds (bulbuls, sparrows, and chickens) Some species spread coronaviruses without becoming sick, like the camels that carry MERS, and bats, which carry many viruses. Human Coronaviruses Before COVID-19 Before December 2019, six coronaviruses were known to infect humans.",2020-02-20,blogs.plos.org,,,,0.0,0.007915893630179336,0.003957946815089668,0.012857777143491428,positive,positive,2020-02-19,2020-02-21,0.13682431457431457,0.11499999999999999
Masks,Don't License COVID-19 Vaccine: Lawmakers to US Government,"An intervention ""is particularly critical for vaccines, which are most effective when the vast majority of the public is immunized,"" they said. Travelers wearring mask to protect against coronavirus / Travelers arrive to LAX Tom Bradley International Terminal wearing medical masks for protection against the novel coronavirus outbreak in Los Angeles, Calif., on Feb. 2, 2020. (David McNew/Getty Images) While clinical trials for a COVID-19 treatment are already underway in China, the United States doesn't expect to start trials for a vaccine for another few months. That development is only possible, the representatives said, because of public, taxpayer funding of National Institutes of Health (NIH) research on coronaviruses, citing a Public Citizen report released earlier Thursday that said t",2020-02-20,theepochtimes.com,Global,,,0.0,0.06923076923076923,0.03461538461538462,0.012857777143491428,positive,positive,2020-02-19,2020-02-21,0.13682431457431457,0.11499999999999999
Cases,Coronavirus outbreak: How the COVID-19 vaccine is being made,"And how likely is it to work? The virus responsible for COVID-19, isolated from the first Australian coronavirus case and captured in this colorised transmission electron micrograph image. / Credit: / CSIRO What is the plan for developing a COVID-19 vaccine? Vaccines are among our best tools for preventing infection.",2020-02-21,theage.com.au,Australia,,,0.0,0.19999999999999998,0.09999999999999999,0.11499999999999999,positive,positive,2020-02-20,2020-02-22,0.012857777143491428,0.17249188311688313
Testing,China says COVID-19 vaccine trials to start around late April,"China is currently using five different approaches to develop the vaccine to curb the spread of the virus, said Zeng Yixin, deputy director of China's National Health Commission. These include using inactivated coronavirus to produce a vaccine, using genetic engineering to mass-produce proteins that could act as antigens for the novel coronavirus or modifying existing vaccines for influenza, Zeng said. ""At present, some projects have entered the stage of animal testing,"" he said. Scientists in the US announced Wednesday they had created the first 3D atomic-scale map of the part of the novel coronavirus that attaches to and infects human cells, a critical step toward developing vaccines and treatments.",2020-02-21,channelnewsasia.com,Global,,,-0.3,0.041666666666666664,-0.12916666666666665,0.11499999999999999,negative,positive,2020-02-20,2020-02-22,0.012857777143491428,0.17249188311688313
Testing,'Significant step' in COVID-19 vaccine quest,"Researchers said the early research had gone 'as expected' and the material created had the properties which allowed the team to proceed with vaccine development. The group continues to work to a much-accelerated timetable to keep on track for investigational clinical testing after the middle of the year. UQ is one of only three programs globally, and the only one in Australia, initiated by the Coalition for Epidemic Preparedness Innovations (CEPI), leveraging 'rapid response' platforms in response to the novel coronavirus outbreak. /Public Release.",2020-02-21,miragenews.com,Global,,,0.375,0.0,0.1875,0.11499999999999999,positive,positive,2020-02-20,2020-02-22,0.012857777143491428,0.17249188311688313
Testing,"'Significant step' in COVID-19 vaccine quest  - UQ News - The University of Queensland, Australia","Vaccine Pipeline from The University of Queensland on Vimeo. The group continues to work to a much-accelerated timetable to keep on track for investigational clinical testing after the middle of the year. UQ is one of only three programs globally, and the only one in Australia, initiated by the Coalition for Epidemic Preparedness Innovations (CEPI), leveraging 'rapid response' platforms in response to the novel coronavirus outbreak.",2020-02-21,uq.edu.au,Australia,,,0.375,0.0,0.1875,0.11499999999999999,positive,positive,2020-02-20,2020-02-22,0.012857777143491428,0.17249188311688313
Testing,Environmental News Network - 'Significant Step' in COVID-19 Vaccine Quest,"A University of Queensland team has met a key milestone in their fast-tracked research to develop a vaccine for the coronavirus, COVID-19. In just three weeks, the team of researchers has created their first vaccine candidate in the laboratory and will move immediately into further development before formal pre-clinical testing. The proof-of-concept milestone comes after the project's announcement on 24 January as part of the Coalition for Epidemic Preparedness Innovations (CEPI) rapid response program.",2020-02-21,enn.com,Global,,,0.375,0.08333333333333333,0.22916666666666666,0.11499999999999999,positive,positive,2020-02-20,2020-02-22,0.012857777143491428,0.17249188311688313
Testing,"Coronavirus COVID-19 vaccine days away from animal testing, Queensland researchers believe - ABC News (Australian Broadcasting Corporation)","Coronavirus COVID-19 vaccine days away from animal testing, Queensland researchers believe By Baz Ruddick Posted February 22, 2020 17:27:15 Researchers at the University of Queensland (UQ) have said they are just days away from testing a new vaccine for coronavirus, or COVID-19, on animals. Paul Young, head of the university's School of Chemistry and Molecular Biosciences, said a team of 20 UQ scientists had been working around the clock to speed up the vaccine building process since the outbreak of the virus.",2020-02-22,abc.net.au,Australia,,,0.0,0.11818181818181818,0.05909090909090909,0.17249188311688313,positive,positive,2020-02-21,2020-02-23,0.11499999999999999,
Cases,Coronavirus outbreak: How the COVID-19 vaccine is being made,"And how likely is it to work? The virus responsible for COVID-19, isolated from the first Australian coronavirus case and captured in this colorised transmission electron micrograph image. / Credit: / CSIRO What is the plan for developing a COVID-19 vaccine? Vaccines are among our best tools for preventing infection.",2020-02-22,watoday.com.au,Australia,,,0.0,0.19999999999999998,0.09999999999999999,0.17249188311688313,positive,positive,2020-02-21,2020-02-23,0.11499999999999999,
Testing,COVID-19 vaccine: University of Queensland researchers make 'significant step',"By NewsDesk @infectiousdiseasenews A University of Queensland team has met a key milestone in their fast-tracked research to develop a vaccine for the coronavirus, COVID-19. Image/qimono In just three weeks, the team of researchers has created their first vaccine candidate in the laboratory and will move immediately into further development before formal pre-clinical testing. The proof-of-concept milestone comes after the project's announcement on 24 January as part of the Coalition for Epidemic Preparedness Innovations (CEPI) rapid response program. ""There is still extensive testing to ensure that the vaccine candidate is safe and creates an effective immune response, but the technology and the dedication of these researchers means the first hurdle has been passed,""",2020-02-22,outbreaknewstoday.com,Global,,,0.375,0.2285714285714286,0.3017857142857143,0.17249188311688313,positive,positive,2020-02-21,2020-02-23,0.11499999999999999,
Covid19,PHAP to immediately bring new COVID-19 vaccines once available,"This includes efforts to identify suitable assets in their libraries that could be utilized in the fight against coronaviruses. Relevant assets include diagnostics and biomarkers, approved therapies, or compounds in development that could be repurposed for use in treating patients with the coronavirus.Artificial Intelligence is also finding its place in the process, and is being used to mine through medical information to find drugs that might be helpful for tackling the novel coronavirus. Padilla noted that several biopharmaceutical companies are working with the Chinese government and research institutes in the United States and Australia to fast-track the development of vaccines against COVID-19.",2020-02-22,business.mb.com.ph,Philippines,,,0.2681818181818182,0.19,0.2290909090909091,0.17249188311688313,positive,positive,2020-02-21,2020-02-23,0.11499999999999999,
Testing,"Ebola vaccine licensed in 5 African countries, Sanofi & HHS to develop COVID-19 vaccine, AMR digital","Sanofi's previous work to develop a vaccine for SARS, another coronavirus, could give the company a head start on other drug-makers racing to develop a vaccine against COVID-19. With BARDA funding, Sanofi plans to develop a bank of vaccine candidates and produce pilot lots for testing. No decisions have been made about later-stage funding.",2020-02-24,ghtcoalition.org,,,,0.0,-0.14583333333333331,-0.07291666666666666,-0.07291666666666666,negative,negative,2020-02-23,2020-02-25,,0.10818876262626262
Testing,Moderna's New COVID-19 Vaccine Ready for Human Trials; Stock Up 15%,"This is because DNA-based vaccines need to interact with the nucleus of the cell, whereas mRNA (or messenger RNA) is found all across the cell and is much more accessible. However, given that mRNA vaccines have never been tested before on humans, it's still uncertain how well Moderna's new coronavirus vaccine will perform. While Moderna's vaccine is a newly developed treatment, other companies have found success in using drugs designed for other, similar conditions.",2020-02-25,fool.com,Global,Moderna,MRNA,0.11212121212121212,0.14517045454545455,0.12864583333333335,0.10818876262626262,positive,positive,2020-02-24,2020-02-26,-0.07291666666666666,0.12229166666666666
Testing,COVID-19 vaccine created in China - envoy,"This statement comes after claims made by World Health Organization's Director-General Tedros Adhanom that it will take between 12 and 18 months before a vaccine is ready. Meanwhile, UK scientists also began COVID-19 vaccine tests on animals.",2020-02-25,teletrader.com,Global,,,0.0,0.2,0.1,0.10818876262626262,positive,positive,2020-02-24,2020-02-26,-0.07291666666666666,0.12229166666666666
Cases,Coronavirus Update: Washington Pledges $1 Billion To Develop New COVID-19 Vaccine,"This was the first case pertaining to coronavirus, which is being connected to the U.S. Forces Korea, which deploys a total of 28,500 American troops on the Korean peninsula. South Korea has seen a rapid surge in the number of coronavirus cases South Korea has seen a rapid surge in the number of coronavirus cases",2020-02-25,ibtimes.com,Global,,,0.13636363636363635,0.08333333333333333,0.10984848484848483,0.10818876262626262,positive,positive,2020-02-24,2020-02-26,-0.07291666666666666,0.12229166666666666
Testing,"(MNK),  (MRNA) - The Daily Biotech Pulse: Moderna Ships COVID-19 Vaccine For Clinics, Mallinckrodt Strikes $1.6B Opioid Settlement","Here's a roundup of top developments in the biotech space over the last 24 hours. Scaling The Peaks (Biotech Stocks Hitting 52-week highs on Feb. 24) Avadel Pharmaceuticals PLC (NASDAQ: AVDL) Brainstorm Cell Therapeutics Inc (NASDAQ: BCLI) Co-Diagnostics Inc (NASDAQ: CODX)(received CE mark for its coronavirus test) COLLPLANT BIOTE/S ADR (NASDAQ: CLGN) Gilead Sciences, Inc. (NASDAQ: GILD)(reacted to a statement from WHO that its experimental drug remdesivir could be the one drug that may have efficacy) NGM Biopharmaceuticals Inc (NASDAQ: NGM)( reacted to positive readout for its NASH drug) PAVmed Inc (NASDAQ: PAVM) TELA Bio Inc (NASDAQ: TELA) Zynex Inc. (NASDAQ: ZYXI) Down In The Dumps (Biotech Stocks Hitting 52-week lows on Feb. 24) See Also: The Week Ahead In Biotech: Biopharma Earnings P",2020-02-25,benzinga.com,Global,"Gilead Sciences, Moderna",,0.0,0.13434343434343435,0.06717171717171717,0.10818876262626262,positive,positive,2020-02-24,2020-02-26,-0.07291666666666666,0.12229166666666666
Cases,ClinOne Offers Complimentary Support to Researchers Racing to Develop the Coronavirus or COVID-19 Vaccine,"The focal point of the initial outbreak was the Huanan Seafood Wholesale Market and the ingestion of common meals such as bat and snake; however, the zoonotic origin was quickly dispelled when more cases were identified outside of the market area and into other Chinese provinces, confirmation of person-to-person transmission, and utilization of medical imaging. To date, there are 79,360 confirmed cases worldwide, 2,619 associated deaths, and 24,963 cases that have recovered (Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE, 23 February 2020). The first confirmed death from COVID-19 occurred on 09 January 2020 and marked the beginning of the race to create a vaccine that will treat and prevent the ill effects of this coronavirus.",2020-02-25,finanznachrichten.de,Germany,,,0.2,0.07055555555555557,0.13527777777777777,0.10818876262626262,positive,positive,2020-02-24,2020-02-26,-0.07291666666666666,0.12229166666666666
Testing,COVID-19 vaccine test underway | Business,"A biotech company in Massachusetts has created a vaccine against the deadly novel coronavirus and has sent samples to the United States government for testing. Cambridge-based company Moderna, Inc., released the first batch of mRNA-1273 — the company's vaccine against the novel coronavirus — for human use.",2020-02-26,tribune.net.ph,Philippines,Moderna,MRNA,0.0,0.016666666666666663,0.008333333333333331,0.12229166666666666,positive,positive,2020-02-25,2020-02-27,0.10818876262626262,0.07995108225108224
Quarantine,Shares in U.S. drug maker Moderna soar after possible COVID-19 vaccine deemed ready for testing,"Gilead Sciences also has approval for the clinical testing of its experimental antiviral drug, remdesivir, in hospitalized patients who have the coronavirus. The first trial participant is an American who was repatriated after being quarantined on the Diamond Princess cruise ship. It is being conducted at the University of Nebraska Medical Center in Omaha, according to the National Institutes of Health.",2020-02-26,easternontarionetwork.com,Global,"Gilead Sciences, Moderna",,0.1,0.049999999999999996,0.075,0.12229166666666666,positive,positive,2020-02-25,2020-02-27,0.10818876262626262,0.07995108225108224
